"","title","release_date"
"19087","4.3.2.1","2010-06-02"
"19088","Beauty #2","1965-07-01"
"19089","Wings in the Dark","1935-02-01"
"19090","Detention","2011-03-16"
"19091","Nina Frisk","2007-03-09"
"19092","Confession","1937-08-19"
"19093","Kind Lady","1935-12-06"
"19094","Planet B-Boy","2008-03-21"
"19095","For Greater Glory - The True Story of Cristiada","2012-06-01"
"19096","Woochi : The Demon Slayer","2009-12-23"
"19097","Sorry if I Love You","2008-01-25"
"19098","Torpedo Bombers","1983-08-01"
"19099","Taxi Hunter","1993-10-14"
"19100","Rock of Ages","2012-06-13"
"19101","Seeking a Friend for the End of the World","2012-06-22"
"19102","Presto","2008-06-18"
"19103","Jack-Jack Attack","2004-12-31"
"19104","Hollywood Man","1976-10-01"
"19105","Jekyll & Hyde","1990-01-06"
"19106","Boundin'","2003-11-04"
"19107","One Man Band","2005-06-21"
"19108","A Map For Saturday","2007-08-07"
"19109","The Silent Scream","1979-11-23"
"19110","Ted","2012-06-29"
"19111","The Giant Mechanical Man","2012-04-27"
"19112","Tin Toy","1988-08-01"
"19113","Magic Mike","2012-06-28"
"19114","Revenge of the Electric Car","2011-10-21"
"19115","Dragon Ball Z: Return of Cooler","1992-03-07"
"19116","Dragon Ball Z: Cooler's Revenge","1991-07-20"
"19117","Blood of the Vampire","1958-08-25"
"19118","Disneyland Dream","1956-07-31"
"19119","Disney Sing-Along-Songs: Under the Sea","1990-08-14"
"19120","Pulgasari","1985-01-01"
"19121","The Toughest Man in the World","1984-11-07"
"19122","On the Road","2012-05-22"
"19123","Norman","2010-06-11"
"19124","Joffrey: Mavericks of American Dance","2012-04-27"
"19125","Dragon Ball Z: Super Android 13","1992-07-11"
"19126","Dragon Ball Z: Broly - The Legendary Super Saiyan","1993-03-06"
"19127","Virtual JFK: Vietnam If Kennedy Had Lived","2008-09-17"
"19128","Extraterrestrial","2011-09-11"
"19129","Cleanskin","2012-03-08"
"19130","The Amazing Spider-Man","2012-06-27"
"19131","The Barchester Chronicles","1982-11-10"
"19132","Dragon Ball Z: Bojack Unbound","1993-07-10"
"19133","Reminiscences of a Journey to Lithuania","1972-10-04"
"19134","Noroi: The Curse","2005-08-20"
"19135","ID:A","2011-11-24"
"19136","A Colt Is My Passport","1967-02-04"
"19137","Coup de grâce","1976-10-21"
"19138","Wrong Turn 3: Left for Dead","2009-01-01"
"19139","Blacksmith Scene","1893-05-08"
"19140","Ice Age: Continental Drift","2012-06-26"
"19141","Beasts of the Southern Wild","2012-06-29"
"19142","Dangerous Davies","1981-01-04"
"19143","Dynamite","1929-12-13"
"19144","The Day the Fish Came Out","1967-09-27"
"19145","People Like Us","2012-06-29"
"19146","Crazed Fruit","1956-07-12"
"19147","Cruel Gun Story","1964-02-01"
"19148","Flame and Women","1967-12-01"
"19149","Euridice BA 2037","1975-09-29"
"19150","La sociedad del semáforo","2010-09-24"
"19151","The Flying Fleet","1929-01-19"
"19152","Savages","2012-07-06"
"19153","Balto II: Wolf Quest","2002-02-19"
"19154","Rat King","2012-01-20"
"19155","Bela Kiss: Prologue","2013-01-10"
"19156","Oneway-Ticket to Korsør","2008-09-18"
"19157","Candles on Bay Street","2006-11-26"
"19158","Once Upon A Time in Phuket","2011-12-31"
"19159","The War","2007-09-23"
"19160","Thomas Jefferson","1997-02-18"
"19161","Mooz-lum","2011-02-11"
"19162","The Union","2012-01-01"
"19163","The Miser","1980-03-05"
"19164","Scorcher","2003-01-01"
"19165","The Firm","2009-09-18"
"19166","Red's Dream","1987-08-17"
"19167","Spirit Camp","2009-09-25"
"19168","The Perfect Roommate","2011-07-21"
"19169","The Fatal Hour","1940-01-15"
"19170","Geri's Game","1997-11-24"
"19171","My Last Day Without You","2011-06-11"
"19172","Red Rover","2006-10-08"
"19173","Madea's Witness Protection","2012-06-29"
"19174","The Black Windmill","1974-05-17"
"19175","A Good Night to Die","2003-01-01"
"19176","Some Guy Who Kills People","2011-04-14"
"19177","Five Minarets in New York","2010-03-09"
"19178","No Problem","2010-12-10"
"19179","Prisoner 701: Sasori","2008-01-01"
"19180","Treasure Island","2012-01-01"
"19181","The Watch","2012-07-26"
"19182","Vampires","2010-04-17"
"19183","Drive, He Said","1971-06-13"
"19184","The Adventures of Mary-Kate & Ashley: The Case of the Christmas Caper","1995-01-01"
"19185","The Adventures of Mary-Kate & Ashley: The Case of the United States Navy Adventure","1997-01-01"
"19186","Someday This Pain Will Be Useful to You","2011-11-02"
"19187","2 Days in New York","2012-03-28"
"19188","Radio On","1979-11-30"
"19189","2010: Moby Dick","2010-11-23"
"19190","Physical Promise","1975-07-26"
"19191","Terminal USA","1993-09-17"
"19192","From Beginning to End","2009-11-12"
"19193","The Cat in the Hat","1971-03-10"
"19194","UltraMarathon Man: 50 Marathons, 50 States, 50 Days","2008-07-31"
"19195","Killer Joe","2011-09-10"
"19196","Jew Süss","1934-10-13"
"19197","The Gospel of Judas","2006-04-05"
"19198","Dragon Ball Z: Broly - Second Coming","1994-03-12"
"19199","King of Thorn","2009-10-09"
"19200","Bob Funk","2009-03-20"
"19201","Dragon Ball Z: Bio-Broly","1994-07-09"
"19202","Dragon Ball Z: Fusion Reborn","1995-03-04"
"19203","In the Grip of Passion","1947-03-21"
"19204","Lost, Lost, Lost","1976-09-14"
"19205","Anaconda 3: Offspring","2008-01-01"
"19206","Wild Bill","2011-10-21"
"19207","Pete Smalls Is Dead","2010-09-17"
"19208","Being Flynn","2012-03-02"
"19209","The Drum","1938-09-29"
"19210","Elephant Boy","1937-04-05"
"19211","The Forger","2011-03-09"
"19212","A Child's Christmas in Wales","1987-12-23"
"19213","A Christmas Carol","1999-12-05"
"19214","Goodbye Charlie","1964-11-18"
"19215","Rage","2009-08-12"
"19216","Knick Knack","1989-01-01"
"19217","For the Birds","2000-11-01"
"19218","Ruby Sparks","2012-07-25"
"19219","Total Recall","2012-08-02"
"19220","Le Donk & Scor-zay-zee","2009-10-09"
"19221","388 Arletta Avenue","2011-09-11"
"19222","The Craigslist Killer","2011-01-03"
"19223","Babycall","2011-10-07"
"19224","The Fantastic Four","1994-01-01"
"19225","Bertie and Elizabeth","2002-07-07"
"19226","Infection","2004-10-02"
"19227","The Angels' Share","2012-06-01"
"19228","Carbon Nation","2011-02-11"
"19229","A Dangerous Man","2009-01-01"
"19230","The Immature","2011-01-21"
"19231","Morning of the Earth","1971-01-01"
"19232","Dragon Ball Z: Wrath of the Dragon","1995-07-15"
"19233","Dragon Ball Z: Bardock - The Father of Goku","1990-10-17"
"19234","Marriage Retreat","2011-08-23"
"19235","Vampire Journals","1997-02-25"
"19236","Dikkenek","2006-06-21"
"19237","La Classe Américaine","1993-12-30"
"19238","A Necessary Death","2008-03-08"
"19239","Oranges","2004-03-13"
"19240","Icarus","2010-02-09"
"19241","In the Name of the King 2: Two Worlds","2011-11-03"
"19242","The Door","2009-11-26"
"19243","Dragon Ball Z: The History of Trunks","1993-02-24"
"19244","Dragon Ball GT: A Hero's Legacy","1997-03-26"
"19245","The Kiss","1896-04-01"
"19246","Sidewalls","2011-02-01"
"19247","Dick Tracy vs. Cueball","1946-12-18"
"19248","Stash House","2012-05-11"
"19249","One in the Chamber","2012-08-21"
"19250","Decoys 2: Alien Seduction","2007-03-06"
"19251","Ax 'Em","1992-01-29"
"19252","Hierro","2009-09-26"
"19253","The Tortoise and the Hare","1935-01-05"
"19254","Steak","2007-06-20"
"19255","The Legend of Bigfoot","1976-01-01"
"19256","Neil Young Journeys","2012-06-29"
"19257","The Capture of Bigfoot","1979-11-01"
"19258","Dragon Eyes","2012-05-10"
"19259","Love, Wedding, Marriage","2011-06-03"
"19260","The Little Mermaid: Ariel's Beginning","2008-08-26"
"19261","Bag It","2011-09-01"
"19262","Skyfall","2012-10-25"
"19263","The Thrushes Are Still Singing","1979-10-10"
"19264","Hands Over the City","1963-10-09"
"19265","The Householder","1963-10-20"
"19266","Mais qui a tué Pamela Rose ?","2003-06-04"
"19267","Louise-Michel","2008-09-23"
"19268","Forest Warrior","1996-11-05"
"19269","The Campaign","2012-08-09"
"19270","Taistelu Näsilinnasta 1918","2012-03-23"
"19271","Brake","2012-03-22"
"19272","Hope Springs","2012-08-07"
"19273","K-20: The Fiend with Twenty Faces","2008-12-20"
"19274","Warning from Space","1956-01-29"
"19275","Logan's War:  Bound by Honor","1998-11-01"
"19276","The President's Man: A Line in the Sand","2002-01-01"
"19277","The Queen of Versailles","2012-07-06"
"19278","33 Postcards","2011-06-09"
"19279","The Cutter","2005-11-21"
"19280","Tender Comrade","1943-12-29"
"19281","Amish Grace","2010-03-28"
"19282","Female Agents","2008-02-08"
"19283","Captain Video, Master of the Stratosphere","1951-12-27"
"19284","Run Sister Run!","2010-10-12"
"19285","Secret Reunion","2010-02-04"
"19286","War of the Dead","2011-10-22"
"19287","The One Percent","2006-04-29"
"19288","Primal","2010-08-26"
"19289","Dreams That Money Can Buy","1947-09-01"
"19290","Profound Desires of the Gods","1968-11-22"
"19291","See You in Hell, My Darling","1999-01-01"
"19292","The Rickshaw Man","1958-04-21"
"19293","Identification Marks: None","1965-11-18"
"19294","I Am Waiting","1957-10-22"
"19295","Chillerama","2011-10-14"
"19296","The Cub Tiger from Kwang Tung","1973-03-31"
"19297","Not Scared to Die","1973-01-12"
"19298","Karate Girl","2011-02-05"
"19299","I Am Bruce Lee","2012-02-09"
"19300","On Top of the Whale","1982-02-04"
"19301","Heroic Purgatory","1970-09-26"
"19302","Beloved","2011-08-17"
"19303","Wagner's Dream","2012-06-20"
"19304","Little Birds","2011-01-23"
"19305","I Hate But Love","1962-01-01"
"19306","In Custody","1994-04-15"
"19307","The Heroine","1973-04-26"
"19308","ParaNorman","2012-08-03"
"19309","Diary of a Wimpy Kid: Dog Days","2012-08-02"
"19310","How Bruce Lee Changed the World","2009-05-17"
"19311","The Rites of May","1977-01-13"
"19312","The Great Sacrifice","1944-12-08"
"19313","Immensee","1943-12-26"
"19314","Bells of Innocence","2003-01-01"
"19315","The PHD movie","2011-08-12"
"19316","Operación Cannabis","2009-11-01"
"19317","War of the Arrows","2011-08-10"
"19318","Hara-Kiri: Death of a Samurai","2011-10-15"
"19319","Goats","2012-08-10"
"19320","Celeste & Jesse Forever","2012-08-03"
"19321","Aliisa","1970-11-18"
"19322","Our Children","2012-08-19"
"19323","Endeavour",""
"19324","Hit & Run","2012-08-22"
"19325","Garden Party","2008-07-11"
"19326","Broken","2012-08-22"
"19327","The Family Tree","2011-09-26"
"19328","Je, Tu, Il, Elle","1976-11-17"
"19329","Cinderella II: Dreams Come True","2002-02-23"
"19330","Dark Horse","2011-09-05"
"19331","Black Roses","1988-11-01"
"19332","6 Days to Air: The Making of South Park","2011-10-09"
"19333","Funeral Parade of Roses","1969-01-01"
"19334","Doomsday Book","2012-04-11"
"19335","Premium Rush","2012-08-24"
"19336","Letter Never Sent","1960-06-27"
"19337","Lonesome","1928-06-20"
"19338","Evil Toons","1992-01-08"
"19339","From the Life of the Marionettes","1980-10-08"
"19340","The Odd Life of Timothy Green","2012-08-15"
"19341","Lawless","2012-08-29"
"19342","Chameleon","2008-12-03"
"19343","Piranha 3DD","2012-05-11"
"19344","Man Is Not a Bird","1965-03-06"
"19345","ATM","2012-02-17"
"19346","The Wave","1981-10-04"
"19347","Sleepwalk with Me","2012-08-24"
"19348","Dara O Briain Talks Funny: Live in London","2008-11-17"
"19349","Prime Suspect 3","1993-12-19"
"19350","Prime Suspect: Inner Circles","1995-05-07"
"19351","Nocturne 29","1968-01-01"
"19352","American Mullet","2001-01-01"
"19353","Prime Suspect: The Final Act","2006-11-12"
"19354","Searching for Sugar Man","2012-06-30"
"19355","The Possession","2012-08-30"
"19356","6 Bullets","2012-09-11"
"19357","The Dinosaur Project","2012-08-09"
"19358","Little White Lies","2010-10-20"
"19359","The Manzanar Fishing Club","2012-03-30"
"19360","The Apparition","2012-08-23"
"19361","Dreams of a Life","2011-08-16"
"19362","Life for Sale","2011-10-21"
"19363","To Mars by A-Bomb: The Secret History of Project Orion","2003-03-26"
"19364","Prime Suspect 6: The Last Witness","2004-04-18"
"19365","Prime Suspect: The Lost Child","1995-10-08"
"19366","The Zero Years","2005-11-25"
"19367","Bigfoot Lives","2007-08-02"
"19368","Conception","2011-01-01"
"19369","Do We Really Need the Moon?","2011-02-01"
"19370","French Film","2008-12-05"
"19371","The Backwoods","2006-09-24"
"19372","La Californie","2006-10-26"
"19373","The Great Northfield Minnesota Raid","1972-05-12"
"19374","The Mikado","1987-01-01"
"19375","The Model Couple","1977-03-30"
"19376","Paradise Lost 3: Purgatory","2011-10-10"
"19377","Bachelorette","2012-08-06"
"19378","The Words","2012-09-07"
"19379","Teddy Bear","2012-01-22"
"19380","Soldier In The Rain","1963-11-27"
"19381","For My Father","2008-06-13"
"19382","The Moment of Truth","1965-03-03"
"19383","Mr. Freedom","1969-01-09"
"19384","La dama boba","2006-03-24"
"19385","Pitch Perfect","2012-09-28"
"19386","The Cold Light of Day","2012-04-04"
"19387","Hello I Must Be Going","2012-09-07"
"19388","Flowing","1956-11-20"
"19389","Branded","2012-09-06"
"19390","The Wild Wild West Revisited","1979-05-09"
"19391","Icon","2005-01-01"
"19392","The Sugar Curtain","2005-09-21"
"19393","Samsara","2011-09-16"
"19394","Runaway Brain","1995-08-11"
"19395","Looper","2012-09-26"
"19396","Compliance","2012-08-23"
"19397","Thy Womb","2012-12-24"
"19398","That's My Boy","2012-06-14"
"19399","Arthur and the Revenge of Maltazard","2009-11-26"
"19400","Deathstalker","1983-09-02"
"19401","Deathstalker II","1987-11-11"
"19402","Emergo","2011-10-11"
"19403","Klitschko","2011-06-15"
"19404","Kinyarwanda","2011-01-24"
"19405","Nobody's Children","1951-02-10"
"19406","Patriotism","1966-04-12"
"19407","Les Hautes Solitudes","1974-12-15"
"19408","Vampir-Cuadecuc","1971-05-17"
"19409","Robot & Frank","2012-08-16"
"19410","The Punk Syndrome","2012-05-04"
"19411","Where Do We Go Now?","2011-05-16"
"19412","Ai Weiwei: Never Sorry","2012-06-14"
"19413","Stag Night","2008-06-26"
"19414","Hollywood Sex Wars","2011-10-03"
"19415","The Age of the Medici","1972-12-26"
"19416","Something Ventured","2011-04-01"
"19417","Jesus Henry Christ","2012-05-04"
"19418","Pirates of the Great Salt Lake","2006-01-01"
"19419","Resident Evil: Retribution","2012-09-12"
"19420","Trouble with the Curve","2012-09-21"
"19421","Walk Softly, Stranger","1950-10-14"
"19422","360","2012-07-25"
"19423","Close","2004-06-27"
"19424","Straight Shooting","1917-08-27"
"19425","Employees' Entrance","1933-02-11"
"19426","The Pearls of the Crown","1937-05-12"
"19427","Suicide Club","2010-11-25"
"19428","Under African Skies","2012-05-11"
"19429","Lola Versus","2012-04-24"
"19430","The Master","2012-09-07"
"19431","More Wild Wild West","1980-10-07"
"19432","John Huston: The Man, the Movies, the Maverick","1989-01-01"
"19433","Dredd","2012-09-07"
"19434","We Live Again","1934-11-01"
"19435","247°F","2011-09-01"
"19436","Arbitrage","2012-09-14"
"19437","Blue Like Jazz","2012-04-13"
"19438","Manual of Love 2","2007-01-01"
"19439","The Friends at the Margherita Cafe","2009-04-03"
"19440","Play Girl","1941-03-07"
"19441","Detropia","2012-09-07"
"19442","The Liquidator","2011-04-07"
"19443","The Chemical Brothers: Don't Think","2012-01-26"
"19444","Pearls of the Deep","1966-01-06"
"19445","The Perfect Murder","1988-08-03"
"19446","The Hamburg Syndrome","1979-11-22"
"19447","Kismet","1955-10-08"
"19448","ChromeSkull: Laid to Rest 2","2011-09-20"
"19449","Rain over Santiago","1975-12-10"
"19450","Puckoon","2002-01-01"
"19451","Dolan's Cadillac","2009-10-23"
"19452","A Pig's Tale","1996-06-07"
"19453","Nobody Knows Anybody","1999-11-26"
"19454","Breathless","2012-01-04"
"19455","Blood Money","2012-08-28"
"19456","End of Watch","2012-09-20"
"19457","High, Wide, and Handsome","1937-07-21"
"19458","V/H/S","2012-07-28"
"19459","Boxing Gym","2010-10-22"
"19460","Everyone","2004-09-30"
"19461","The Perks of Being a Wallflower","2012-09-20"
"19462","The Hunt","2012-08-28"
"19463","Holy Motors","2012-07-02"
"19464","Knuckleball!","2012-09-18"
"19465","Either Way","2011-09-02"
"19466","The Hunter","2010-04-08"
"19467","Behind the Burly Q","2010-04-23"
"19468","Two Rabbits","2012-01-20"
"19469","Sparkle","2012-08-17"
"19470","Guilty Hearts","2006-01-01"
"19471","Thin Ice","2011-01-24"
"19472","Red Lights","2012-03-02"
"19473","The Rocky Saga: Going the Distance","2011-12-27"
"19474","Taken 2","2012-09-27"
"19475","The Paperboy","2012-09-14"
"19476","Sam Peckinpah: Man of Iron","1993-06-29"
"19477","Shut Up and Play the Hits","2012-01-22"
"19478","The Private Life of Don Juan","1934-01-01"
"19479","Quadrille","1938-01-29"
"19480","One Nine Nine Four","2009-10-09"
"19481","Bleach the Movie: Fade to Black","2008-12-13"
"19482","The Making of a Legend: Gone with the Wind","1988-10-01"
"19483","In Passing","2011-09-27"
"19484","The Crush","1967-02-16"
"19485","Nanayo","2008-11-01"
"19486","Road North","2012-08-24"
"19487","A Royal Affair","2012-03-29"
"19488","House at the End of the Street","2012-09-21"
"19489","Attack of the 50 Foot Cheerleader","2012-01-01"
"19490","Erotic Nights of the Living Dead","1980-11-18"
"19491","2-Headed Shark Attack","2012-01-17"
"19492","Hard, Fast and Beautiful","1951-05-23"
"19493","The Newest Pledge","2012-08-28"
"19494","Despair","1978-05-19"
"19495","My Left Eye Sees Ghosts","2002-01-01"
"19496","2016: Obama's America","2012-07-13"
"19497","A Happy Event","2011-09-27"
"19498","Love Lasts Three Years","2011-12-10"
"19499","Volcano","2011-09-30"
"19500","Presumed Guilty","2011-09-07"
"19501","Surviving Progress","2011-11-04"
"19502","Doughboys","1930-08-30"
"19503","Tobor the Great","1954-09-01"
"19504","Lightnin'","1925-08-23"
"19505","The Tall Man","2012-03-19"
"19506","Laurence Anyways","2012-05-18"
"19507","The Magic of Belle Isle","2012-07-06"
"19508","The Lie","2011-11-18"
"19509","The Painted Veil","1934-11-23"
"19510","LOL","2012-02-10"
"19511","Stormy Waters","1941-11-27"
"19512","A Report on the Party and the Guests","1966-12-30"
"19513","The Sapphires","2012-08-08"
"19514","That Certain Summer","1972-11-01"
"19515","Something from Nothing: The Art of Rap","2012-06-15"
"19516","Just Add Water","2008-03-18"
"19517","The Return of the Prodigal Son","1967-03-10"
"19518","Hood of the Living Dead","2005-01-01"
"19519","Rust and Bone","2012-05-17"
"19520","Upstream","1927-01-30"
"19521","Genocide","1968-11-09"
"19522","Goke, Body Snatcher from Hell","1968-08-14"
"19523","The Living Skeleton","1968-11-09"
"19524","Madonna of the Seven Moons","1945-01-22"
"19525","The Man in Grey","1943-08-06"
"19526","Ishaqzaade","2012-05-11"
"19527","Evil Bong","2006-10-31"
"19528","Here Comes the Devil","2012-09-11"
"19529","7 Below","2012-04-16"
"19530","Kon-Tiki","2012-08-24"
"19531","Katy Perry: Part of Me","2012-06-28"
"19532","Broadway","1929-05-27"
"19533","Viy","1967-11-27"
"19534","The Rise of Catherine the Great","1934-01-01"
"19535","Roseland","1977-10-02"
"19536","The Rusty Knife","1958-01-01"
"19537","Glorious Technicolor","1998-01-01"
"19538","Ingmar Bergman on Life and Work","1998-01-31"
"19539","Lon Chaney: A Thousand Faces","2000-10-23"
"19540","El tren de la memoria","2005-04-27"
"19541","The Film Parade","1933-01-01"
"19542","Rules of Single Life","2011-04-01"
"19543","Tank on the Moon","2007-01-01"
"19544","A Safe Place","1971-10-01"
"19545","Urbanized","2011-09-09"
"19546","Waco: A New Revelation","1999-10-07"
"19547","The Cool Ones","1967-04-11"
"19548","Blood of Dracula","1957-11-01"
"19549","I'm King Kong!: The Exploits of Merian C. Cooper","2005-11-22"
"19550","Elia Kazan: A Director's Journey","1995-08-14"
"19551","The John Garfield Story","2003-02-03"
"19552","Not Here to Be Loved","2005-10-12"
"19553","California Solo","2012-11-30"
"19554","Shameless","2010-10-08"
"19555","The Marshal of Finland","2012-09-28"
"19556","Marley","2012-04-20"
"19557","Frankenweenie","2012-10-04"
"19558","His Name Was Jason: 30 Years of Friday the 13th","2009-02-03"
"19559","Colin Quinn: Long Story Short","2011-04-09"
"19560","Mother","1992-01-14"
"19561","When Heroes Lie","2012-10-05"
"19562","Sinister","2012-03-29"
"19563","Fearful Symmetry","1998-01-01"
"19564","Louise Brooks: Looking for Lulu","1998-05-27"
"19565","The Thing: Terror Takes Shape","1998-01-01"
"19566","Shottas","2002-02-27"
"19567","Sapphire","1959-11-02"
"19568","Passion Play","2010-09-10"
"19569","Virginia","2010-05-18"
"19570","Hotel Transylvania","2012-09-20"
"19571","Our City Dreams","2008-08-10"
"19572","Side by Side","2012-08-19"
"19573","A Good Old Fashioned Orgy","2011-09-02"
"19574","Inside: 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb'","2000-05-04"
"19575","Shadowing the Third Man","2004-10-11"
"19576","Making 'Do the Right Thing'","1989-11-03"
"19577","The Young and the Dead","2000-04-22"
"19578","Daleks' Invasion Earth: 2150 A.D.","1966-01-01"
"19579","Fat Kid Rules The World","2012-10-05"
"19580","Charlie Chan in Egypt","1935-06-04"
"19581","Charlie Chan in London","1934-09-12"
"19582","Coupe de Ville","1990-03-09"
"19583","Shakespeare Wallah","1965-12-01"
"19584","Love in the Time of Hysteria","1991-09-09"
"19585","We Are From The Future","2008-01-01"
"19586","Creature from the Haunted Sea","1961-06-01"
"19587","Take Aim at the Police Van","1960-01-27"
"19588","The Screaming Skull","1958-01-01"
"19589","Björk: Volumen","1999-01-01"
"19590","Madame Tutli-Putli","2007-05-19"
"19591","Argo","2012-10-11"
"19592","Seven Psychopaths","2012-09-07"
"19593","Nobody Walks","2012-10-19"
"19594","Butter","2011-09-03"
"19595","Atlas Shrugged Part II","2012-10-12"
"19596","Ill Manors","2012-06-06"
"19597","Liberal Arts","2012-09-14"
"19598","Ator, the Fighting Eagle","1982-10-07"
"19599","The Tattooed Widow","1998-03-10"
"19600","Portrait in Black","1960-07-27"
"19601","Vivien Leigh: Scarlett And Beyond","1990-05-17"
"19602","Under the Boardwalk: The Monopoly Story","2011-03-04"
"19603","Arachnoquake","2012-06-23"
"19604","Choking Man","2006-04-01"
"19605","Farewell, My Queen","2012-03-21"
"19606","Marley & Me: The Puppy Years","2011-06-01"
"19607","The House I Live In","2012-10-05"
"19608","West of Memphis","2012-12-25"
"19609","Boogie Man: The Lee Atwater Story","2008-09-26"
"19610","Thermae Romae","2012-04-28"
"19611","Michael","2011-05-12"
"19612","Kings of Pastry","2009-11-06"
"19613","The Reluctant Saint","1962-12-03"
"19614","The Gorilla","1939-05-26"
"19615","Hoodwinked Too! Hood VS. Evil","2011-04-29"
"19616","Thirst for Love","1967-02-18"
"19617","Drones","2010-01-23"
"19618","Catch.44","2011-12-08"
"19619","The Return of Frank Cannon","1980-11-01"
"19620","The Sound of Fury","1950-12-12"
"19621","The Letter","2012-09-06"
"19622","Three Resurrected Drunkards","1968-03-30"
"19623","Tormento","1950-02-11"
"19624","Les Visiteurs du Soir","1942-12-05"
"19625","Ingmar Bergman Makes a Movie","1963-01-01"
"19626","Eastwood on Eastwood","1997-11-01"
"19627","The Ernest Film Festival","1986-01-01"
"19628","The Secret Life of Zoey","2002-08-19"
"19629","Moebius Redux: A Life in Pictures","2007-01-01"
"19630","Tony","2010-02-05"
"19631","Dive!","2010-02-05"
"19632","The Clink of Ice","2010-08-25"
"19633","The Warped Ones","1960-09-03"
"19634","16 to Life","2009-09-19"
"19635","How to Survive a Plague","2012-09-20"
"19636","[REC]³ Genesis","2012-03-30"
"19637","Four Sons","1940-06-14"
"19638","Gangs of Wasseypur","2012-06-22"
"19639","Greystone Park","2012-09-06"
"19640","Last Ride","2009-07-02"
"19641","Girl in Progress","2012-05-11"
"19642","Astérix and Obélix: God Save Britannia","2012-10-17"
"19643","Lightning Strikes Twice","1951-04-12"
"19644","My Forbidden Past","1951-04-25"
"19645","56 Up","2012-05-14"
"19646","King Leopold's Ghost","2006-05-28"
"19647","Around the World","1943-11-27"
"19648","Turkish Passion","1994-11-18"
"19649","Un Dimanche à Kigali","2006-04-03"
"19650","We Are Legion: The Story of the Hacktivists","2012-01-20"
"19651","The Barrens","2012-09-28"
"19652","Transit","2012-01-02"
"19653","Love Me No More","2008-04-30"
"19654","Paranormal Activity 4","2012-10-17"
"19655","You Are God","2012-05-07"
"19656","Where the Boys Are '84","1984-04-06"
"19657","Skyscraper","2011-09-15"
"19658","Tai Chi Zero","2012-09-27"
"19659","The White Angel","1955-04-06"
"19660","The X from Outer Space","1967-03-25"
"19661","The Babymakers","2012-08-03"
"19662","Rosewood Lane","2011-10-15"
"19663","The Glamorous Life of Sachiko Hanai","2003-10-14"
"19664","The Strange Case of the End of Civilization as We Know It","1977-09-18"
"19665","A Feast At Midnight","1994-11-01"
"19666","Tom & Thomas","2002-01-23"
"19667","3, 2, 1... Frankie Go Boom","2012-10-12"
"19668","Alex Cross","2012-10-18"
"19669","The Ambassador","2011-10-05"
"19670","Cloud Atlas","2012-10-26"
"19671","Luck, Trust & Ketchup: Robert Altman in Carver Country","1993-03-26"
"19672","Hellboy: The Seeds of Creation","2004-01-01"
"19673","Budd Boetticher: A Man Can Do That","2005-12-02"
"19674","Rx (Simple Lies)","2005-04-21"
"19675","Terry Pratchett: Choosing to Die","2011-06-13"
"19676","ReGeneration","2010-05-24"
"19677","Free Men","2011-09-28"
"19678","The Girl","2012-10-22"
"19679","This Ain’t California","2012-08-15"
"19680","Steve Jobs: The Lost Interview","2012-05-11"
"19681","Rolling","2007-01-01"
"19682","Silent Hill: Revelation 3D","2012-10-10"
"19683","Warren Oates: Across the Border","1993-01-01"
"19684","Step Up Love Story","2000-01-01"
"19685","Graduation Day","1981-05-01"
"19686","April Fool's Day","2008-03-25"
"19687","Holiday Affair","1949-12-24"
"19688","Like Dandelion Dust","2009-02-05"
"19689","Men Do what Men Can","2012-10-10"
"19690","Stockholm East","2011-10-21"
"19691","The Woman Who Dreamed of a Man","2010-01-21"
"19692","Beware the Moon: Remembering 'An American Werewolf in London'","2009-09-14"
"19693","Pumping Iron II: The Women","1985-05-03"
"19694","Witness to Murder","1954-04-15"
"19695","The Busher","1919-05-17"
"19696","The Piano in a Factory","2011-07-15"
"19697","The Patience Stone","2012-09-08"
"19698","Hamoun","1990-01-01"
"19699","Chasing Mavericks","2012-10-25"
"19700","Craigslist Joe","2012-08-02"
"19701","Here Comes the Boom","2012-10-11"
"19702","The Men Who Made the Movies: Samuel Fuller","2002-07-02"
"19703","Search for the Beast","1997-01-01"
"19704","Victor Seastrom","1981-01-01"
"19705","Night of the Running Man","1995-01-19"
"19706","Hitman's Run","1999-01-01"
"19707","Mental","2012-10-04"
"19708","Killing Them Softly","2012-09-20"
"19709","The Imposter","2012-07-13"
"19710","The Other Dream Team","2012-09-28"
"19711","The Sessions","2012-05-02"
"19712","Living with the Fosters","2002-03-23"
"19713","Lana Turner... a Daughter's Memoir","2001-01-01"
"19714","Making the Earth Stand Still","1995-01-01"
"19715","Remember the Day","1941-12-25"
"19716","A Child Is Waiting","1963-02-13"
"19717","Salvage","2010-03-22"
"19718","Submarine X-1","1969-06-23"
"19719","Rid Of Me","2011-11-18"
"19720","What Richard Did","2012-09-09"
"19721","Kounterfeit","1996-11-15"
"19722","Watch the Shadows Dance","1987-01-01"
"19723","Smashed","2012-09-12"
"19724","Splinterheads","2009-11-06"
"19725","The Babysitters","2007-09-11"
"19726","The Juche Idea","2008-03-31"
"19727","Wreck-It Ralph","2012-11-01"
"19728","Lookin' to Get Out","1982-10-08"
"19729","Diplomatic Siege","1999-11-17"
"19730","",""
"19731","","1"
"19732","Silver Linings Playbook","2012-09-08"
